artist,album,albumId
AC/DC,For Those About To Rock We Salute You,1
Accept,Balls to the Wall,2
Accept,Restless and Wild,3
AC/DC,Let There Be Rock,4
Aerosmith,Big Ones,5
Alanis Morissette,Jagged Little Pill,6
Alice In Chains,Facelift,7
Antônio Carlos Jobim,Warner 25 Anos,8
Apocalyptica,Plays Metallica By Four Cellos,9
Audioslave,Audioslave,10
Audioslave,Out Of Exile,11
BackBeat,BackBeat Soundtrack,12
Billy Cobham,The Best Of Billy Cobham,13
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],14
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],15
Black Sabbath,Black Sabbath,16
Black Sabbath,Black Sabbath Vol. 4 (Remaster),17
Body Count,Body Count,18
Bruce Dickinson,Chemical Wedding,19
Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,20
Caetano Veloso,Prenda Minha,21
Caetano Veloso,Sozinho Remix Ao Vivo,22
Chico Buarque,Minha Historia,23
Chico Science & Nação Zumbi,Afrociberdelia,24
Chico Science & Nação Zumbi,Da Lama Ao Caos,25
Cidade Negra,Acústico MTV [Live],26
Cidade Negra,Cidade Negra - Hits,27
Cláudio Zoli,Na Pista,28
Various Artists,Axé Bahia 2001,29
Led Zeppelin,BBC Sessions [Disc 1] [Live],30
Frank Zappa & Captain Beefheart,Bongo Fury,31
Various Artists,Carnaval 2001,32
Marcos Valle,Chill: Brazil (Disc 1),33
Antônio Carlos Jobim,Chill: Brazil (Disc 2),34
Metallica,Garage Inc. (Disc 1),35
Queen,Greatest Hits II,36
Kiss,Greatest Kiss,37
Spyro Gyra,Heart of the Night,38
Green Day,International Superhits,39
David Coverdale,Into The Light,40
Gonzaguinha,Meus Momentos,41
Os Mutantes,Minha História,42
Deep Purple,MK III The Final Concerts [Disc 1],43
Led Zeppelin,Physical Graffiti [Disc 1],44
Various Artists,Sambas De Enredo 2001,45
Santana,Supernatural,46
Ed Motta,The Best of Ed Motta,47
Miles Davis,The Essential Miles Davis [Disc 1],48
Miles Davis,The Essential Miles Davis [Disc 2],49
Deep Purple,The Final Concerts (Disc 2),50
Gene Krupa,Up An' Atom,51
Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,52
